company_name,rating,bio,salary,job,founded_in,field,other,city
TCS,3.3,IT Services & Consulting |  +438 other locations,970000.0,2000.0,1968 (58 yrs old),IT Services & Consulting,+438 other locations,bangalore
Accenture,3.7,IT Services & Consulting |  +255 other locations,650000.0,31900.0,1989 (37 yrs old),IT Services & Consulting,+255 other locations,bangalore
Wipro,3.6,IT Services & Consulting |  +370 other locations,480000.0,6500.0,1945 (81 yrs old),IT Services & Consulting,+370 other locations,bangalore
Cognizant,3.6,IT Services & Consulting |  +229 other locations,600000.0,730.0,1994 (32 yrs old),IT Services & Consulting,+229 other locations,bangalore
Capgemini,3.7,IT Services & Consulting |  +184 other locations,470000.0,1900.0,1967 (59 yrs old),IT Services & Consulting,+184 other locations,bangalore
HDFC Bank,3.8,Banking |  +1821 other locations,150000.0,266.0,1994 (32 yrs old),Banking,+1821 other locations,bangalore
Infosys,3.5,IT Services & Consulting |  +246 other locations,520000.0,2700.0,,IT Services & Consulting,+246 other locations,bangalore
ICICI Bank,4.0,Banking |  +1437 other locations,150000.0,22.0,1994 (32 yrs old),Banking,+1437 other locations,bangalore
HCLTech,3.4,IT Services & Consulting |  +226 other locations,370000.0,165.0,,IT Services & Consulting,+226 other locations,bangalore
Tech Mahindra,3.4,IT Services & Consulting |  +331 other locations,280000.0,382.0,1986 (40 yrs old),IT Services & Consulting,+331 other locations,bangalore
Genpact,3.6,IT Services & Consulting |  +182 other locations,230000.0,840.0,1997 (29 yrs old),IT Services & Consulting,+182 other locations,bangalore
Teleperformance,3.8,BPO |  +254 other locations,95800.0,1300.0,1978 (48 yrs old),BPO,+254 other locations,bangalore
Axis Bank,3.6,Banking |  +1498 other locations,100000.0,217.0,1993 (33 yrs old),Banking,+1498 other locations,bangalore
Jio,4.4,Telecom |  +1893 other locations,62000.0,3.0,2018 (8 yrs old),Telecom,+1893 other locations,bangalore
Concentrix Corporation,3.6,BPO |  +179 other locations,130000.0,82.0,1983 (43 yrs old),BPO,+179 other locations,bangalore
Amazon,3.9,Internet |  +518 other locations,150000.0,1600.0,1994 (32 yrs old),Internet,+518 other locations,bangalore
iEnergizer,4.6,BPO |  +52 other locations,23900.0,68.0,,BPO,+52 other locations,bangalore
Reliance Retail,3.9,Retail |  +1150 other locations,74700.0,152.0,2006 (20 yrs old),Retail,+1150 other locations,bangalore
LTIMindtree,3.6,IT Services & Consulting |  +146 other locations,190000.0,450.0,1997 (29 yrs old),IT Services & Consulting,+146 other locations,bangalore
IBM,3.9,IT Services & Consulting |  +160 other locations,210000.0,813.0,1911 (115 yrs old),IT Services & Consulting,+160 other locations,bangalore
HDB Financial Services,3.9,NBFC |  +1090 other locations,50200.0,203.0,2007 (19 yrs old),NBFC,+1090 other locations,bangalore
Larsen & Toubro Limited,3.9,Engineering & Construction |  +754 other locations,23900.0,76.0,,Engineering & Construction,+754 other locations,bangalore
Deloitte,3.7,Management Consulting |  +187 other locations,250000.0,1500.0,1845 (181 yrs old),Management Consulting,+187 other locations,bangalore
Kotak Mahindra Bank,3.6,Banking |  +681 other locations,87000.0,80.0,,Banking,+681 other locations,bangalore
Reliance Industries,4.0,Oil & Gas |  +812 other locations,72400.0,58.0,1977 (49 yrs old),Oil & Gas,+812 other locations,bangalore
Vodafone Idea,3.9,Telecom |  +704 other locations,50300.0,30.0,2018 (8 yrs old),Telecom,+704 other locations,bangalore
Bharti Airtel,3.8,Telecom |  +789 other locations,49000.0,120.0,1952 (74 yrs old),Telecom,+789 other locations,bangalore
BYJU'S,3.2,EdTech |  +321 other locations,53600.0,76.0,2011 (15 yrs old),EdTech,+321 other locations,bangalore
WNS,3.3,IT Services & Consulting |  +65 other locations,69800.0,82.0,1996 (30 yrs old),IT Services & Consulting,+65 other locations,bangalore
Tata Motors,4.1,Automobile |  +506 other locations,42500.0,172.0,1945 (81 yrs old),Automobile,+506 other locations,bangalore
IDFC FIRST Bank,3.9,Banking |  +712 other locations,48500.0,32.0,,Banking,+712 other locations,bangalore
Ernst & Young,3.4,Management Consulting |  +132 other locations,23900.0,76.0,,Management Consulting,+132 other locations,bangalore
IndusInd Bank,3.4,Banking |  +788 other locations,51700.0,141.0,,Banking,+788 other locations,bangalore
AU Small Finance Bank,3.9,Banking |  +783 other locations,28700.0,44.0,1996 (30 yrs old),Banking,+783 other locations,bangalore
Flipkart,3.9,Internet |  +560 other locations,53900.0,179.0,2007 (19 yrs old),Internet,+560 other locations,bangalore
Bajaj Finserv,3.9,NBFC |  +1162 other locations,30000.0,4.0,2007 (19 yrs old),NBFC,+1162 other locations,bangalore
Muthoot FinCorp,4.5,NBFC |  +1087 other locations,9000.0,43.0,,NBFC,+1087 other locations,bangalore
PwC,3.3,Management Consulting |  +133 other locations,120000.0,899.0,1880 (146 yrs old),Management Consulting,+133 other locations,bangalore
Mahindra & Mahindra,4.0,Automobile |  +562 other locations,23900.0,76.0,,Automobile,+562 other locations,bangalore
DXC Technology,3.6,IT Services & Consulting |  +133 other locations,72800.0,198.0,2017 (9 yrs old),IT Services & Consulting,+133 other locations,bangalore
Infosys BPM,3.5,BPO |  +95 other locations,72500.0,98.0,2002 (24 yrs old),BPO,+95 other locations,bangalore
HDFC Life,3.9,Insurance |  +698 other locations,32900.0,119.0,,Insurance,+698 other locations,bangalore
Bandhan Bank,3.7,Banking |  +995 other locations,25300.0,13.0,,Banking,+995 other locations,bangalore
Conneqt Business Solutions,3.6,BPO |  +266 other locations,26400.0,361.0,2002 (24 yrs old),BPO,+266 other locations,bangalore
Mphasis,3.3,IT Services & Consulting |  +63 other locations,73200.0,47.0,1998 (28 yrs old),IT Services & Consulting,+63 other locations,bangalore
Yes Bank,3.7,Banking |  +540 other locations,43400.0,141.0,2004 (22 yrs old),Banking,+540 other locations,bangalore
Tata Steel,4.0,Iron & Steel |  +228 other locations,33800.0,76.0,1907 (119 yrs old),Iron & Steel,+228 other locations,bangalore
Quess,3.8,Recruitment |  +740 other locations,30500.0,9.0,2007 (19 yrs old),Recruitment,+740 other locations,bangalore
Maruti Suzuki,4.2,Automobile |  +451 other locations,28400.0,61.0,1981 (45 yrs old),Automobile,+451 other locations,bangalore
Startek,3.1,BPO |  +105 other locations,24400.0,130.0,2017 (9 yrs old),BPO,+105 other locations,bangalore
Asian Paints,4.0,Chemicals |  +547 other locations,25200.0,66.0,,Chemicals,+547 other locations,bangalore
UltraTech Cement,4.1,Building Material |  +534 other locations,24300.0,27.0,1983 (43 yrs old),Building Material,+534 other locations,bangalore
Paytm,3.2,FinTech |  +418 other locations,33900.0,718.0,,FinTech,+418 other locations,bangalore
