company_name,rating,bio,salary,job,founded_in
TCS,3.3,IT Services & Consulting | Jaipur +439 other locations,9.7L,2k,1968 (58 yrs old)
Accenture,3.7,IT Services & Consulting | Jaipur +255 other locations,6.5L,31.9k,1989 (37 yrs old)
Wipro,3.6,IT Services & Consulting | Jaipur +370 other locations,4.8L,6.5k,1945 (81 yrs old)
Capgemini,3.7,IT Services & Consulting | Jaipur +184 other locations,4.7L,1.9k,1967 (59 yrs old)
HDFC Bank,3.8,Banking | Jaipur +1821 other locations,1.5L,267,1994 (32 yrs old)
Infosys,3.5,IT Services & Consulting | Jaipur +246 other locations,5.2L,2.7k,
ICICI Bank,4.0,Banking | Jaipur +1438 other locations,1.5L,22,1994 (32 yrs old)
HCLTech,3.4,IT Services & Consulting | Jaipur +226 other locations,3.7L,165,
Tech Mahindra,3.4,IT Services & Consulting | Jaipur +331 other locations,2.8L,382,1986 (40 yrs old)
Genpact,3.6,IT Services & Consulting | Jaipur +182 other locations,2.3L,851,1997 (29 yrs old)
Teleperformance,3.8,BPO | Jaipur +254 other locations,95.8k,1.3k,1978 (48 yrs old)
Axis Bank,3.6,Banking | Jaipur +1498 other locations,1L,217,1993 (33 yrs old)
Jio,4.4,Telecom | Jaipur +1893 other locations,62k,3,2018 (8 yrs old)
Concentrix Corporation,3.6,BPO | Jaipur +177 other locations,1.3L,82,1983 (43 yrs old)
Amazon,3.9,Internet | Jaipur +518 other locations,1.5L,1.6k,1994 (32 yrs old)
iEnergizer,4.6,BPO | Jaipur +52 other locations,23.9k,68,
Reliance Retail,3.9,Retail | Jaipur +1150 other locations,74.7k,152,2006 (20 yrs old)
LTIMindtree,3.6,IT Services & Consulting | Jaipur +146 other locations,1.9L,450,1997 (29 yrs old)
IBM,3.9,IT Services & Consulting | Jaipur +160 other locations,2.1L,813,1911 (115 yrs old)
HDB Financial Services,3.9,NBFC | Jaipur +1090 other locations,50.2k,203,2007 (19 yrs old)
Larsen & Toubro Limited,3.9,Engineering & Construction | Jaipur +754 other locations,,,
Deloitte,3.7,Management Consulting | Jaipur +187 other locations,2.5L,1.5k,1845 (181 yrs old)
Kotak Mahindra Bank,3.6,Banking | Jaipur +681 other locations,87k,80,
Reliance Industries,4.0,Oil & Gas | Jaipur +812 other locations,72.4k,58,1977 (49 yrs old)
Vodafone Idea,3.9,Telecom | Jaipur +704 other locations,50.3k,30,2018 (8 yrs old)
Bharti Airtel,3.8,Telecom | Jaipur +789 other locations,49k,120,1952 (74 yrs old)
BYJU'S,3.2,EdTech | Jaipur +321 other locations,53.6k,,2011 (15 yrs old)
WNS,3.3,IT Services & Consulting | Jaipur +65 other locations,69.8k,84,1996 (30 yrs old)
Tata Motors,4.1,Automobile | Jaipur +506 other locations,42.5k,172,1945 (81 yrs old)
IDFC FIRST Bank,3.9,Banking | Jaipur +711 other locations,48.5k,32,
Ernst & Young,3.4,Management Consulting | Jaipur +132 other locations,,,
